id,sanctions_translated,sanctions_lemmatized,final_label
interpol-red-2018-89287,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2007-35444,financial intermediation,financial intermediation,armed formation
interpol-red-2019-129473,"""participation in illegal armed formation; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices;""",participation in illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2022-73286,"rape of an infant, girl, child and/or adolescent",rape of an infant girl child and/or adolescent,armed formation
interpol-red-2017-197526,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-195794,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-53565,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-8201,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-34973,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-77082,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-7298,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-41827,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-85144,"participation in illegal armed formation, participation in the activity of a terrorist organization, illegal acquisition and storage of firearms and ammunition.",participation in illegal armed formation participation in the activity of a terrorist organization illegal acquisition and storage of firearm and ammunition,armed formation
interpol-red-2016-34649,carried out the smuggling of migrants,carry out the smuggling of migrant,armed formation
NK-SWi8rJ7ZxadsJGmrkcQokP,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-85665,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-235407,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-60916,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-61895,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-LyAbR9WsQoxABQ3Lohn5hh,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-49683,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-60386,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-41895,participation in illegal armed  formation,participation in illegal armed formation,armed formation
interpol-red-2020-34092,participation in the activity of an  illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-39986,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-49336,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-20365,"participation in illegal armed formation, illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, extortion, kidnapping committed by organized group by previous concert.",participation in illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm extortion kidnapping commit by organize group by previous concert,armed formation
interpol-red-2020-9315,"""organization of activity of the terrorist organization and participation in activity of such organization
participation in illegal armed formation
illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices""",organization of activity of the terrorist organization and participation in activity of such organization participation in illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2021-34812,"""act of terrorism; organization of terrorist community and participation in it; illegal acquisition, transfer, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices.""",act of terrorism organization of terrorist community and participation in it illegal acquisition transfer storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2017-166812,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-51214,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-63317,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-203946,"organisation of an illegal armed formation, or participation in it",organisation of an illegal armed formation or participation in it,armed formation
interpol-red-2025-29577,"rape of an infant, boy, girl and adolescent",rape of an infant boy girl and adolescent,armed formation
interpol-red-2017-9276,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-187067,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-36693,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-64172,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-50209,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-VdTWT9gXdSLQjCTqLEP3nJ,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-77650,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-272199,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-8229,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-59034,"""participation in the  activity of a terrorist organization; participation in an illegal armed formation; iillegal acquisition, transfer, storage, transportation and bearing of ammunition; iillegal acquisition, transfer, storage, transportation and bearing of explosives and explosive devices.""",participation in the activity of a terrorist organization participation in an illegal armed formation iillegal acquisition transfer storage transportation and bearing of ammunition iillegal acquisition transfer storage transportation and bearing of explosive and explosive device,armed formation
interpol-red-2020-30628,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-36924,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-13345,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-61899,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-25290,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-32400,participation in illegal armed formation,participation in illegal armed formation,armed formation
